Verb,English 1,Type 1,Sentence 1,English 2,Type 2,Sentence 2,English 3,Type 3,Sentence 3
nood,"look, watch, view ",ma,saka na tayo manood ng sine,,,,,,
uwi,go home,um,uuwi ako mamayang gabi,take home something,i,iuuwi ko ang manok mamayang gabi,take home something,mag,maguuwi ako ng manok mamayang gabi
akyat,"climb, ascend",um,umakyat ka dito,carry something upwards,i,gusto ko iakyat ang bag,,,
dagdag,add,um,,add something,i,idadagdag ko ang mga pampalasa,,,
balik,return,um,,return something,i,ibinabalik ko ang aklat na ito,,,
gawa,do,um,,do something,in,,,,
alis,leave,um,,remove something,in,,,,
dating,arrive,um,,,,,,,
lakad,walk,mag,,,,,,,
laba,wash clothes,mag,,,,,,,
salita,talk/speak,mag,,,,,,,
hugas,wash,mag,,,,,,,
linis,clean,mag,,clean something,in,,,,
luto,cook,mag,,cook,i,,,,
dilig,water plants,mag,,,,,,,
tanim,plant,mag,,,,,,,
tupi,fold clothes,mag,,,,,,,
tago,hide,mag,,hide,i,,,,
hain,setting the table,mag,,set the table,i,,,,
basa,read,mag,,,,,,,
suklay,comb,mag,,comb something,in,,,,
sipilyo,brush,mag,,,,,,,
laro,play,mag,,,,,,,
mumog,gurgle,mag,,,,,,,
bihis,change clothes,mag,,,,,,,
benta,sell,mag,,,,,,,
saing,cook rice,mag,,,,,,,
sayaw,dance,mag,,,,,,,
tinda,sell,mag,,,,,,,
maneho,drive,mag,,,,,,,
saliksik,research,mag,,,,,,,
padala,send,mag,,,,,,,
ligo,bath,ma,,,,,,,
tulog,sleep,ma,,,,,,,
galit,angry,ma,,make someone mad/angry,in,,,,
huli,catch,ma,,,,,,,
lito,confuse,ma,,,,,,,
dulas,slip,ma,,,,,,,
nginig,shiver,ma,,,,,,,
panatag,blame,ma,,,,,,,
kain,eat,um,,eat something,in,,,,
takbo,run,um,,,,,,,
tawag,call,um,,call someone by name,in,,,,
higa,lie down,um,,,,,,,
kaway,wave,um,,,,,,,
ngiti,smile,um,,,,,,,
ngisi,smirk,um,,,,,,,
sigaw,shout/yell,um,,,,,,,
gapang,crawl,um,,,,,,,
talon,jump,um,,,,,,,
lundag,jump,um,,,,,,,
lipad,fly,um,,,,,,,
kahol,bark,um,,,,,,,
bili,buy,um,,,,,,,
pili,choose,um,,,,,,,
takas,escape/run away,um,,,,,,,
tango,nod,um,,,,,,,
tawid,cross over ,um,,,,,,,
bulong,whisper,um,,,,,,,
tilaok,crow,um,,,,,,,
talak,"berate, scold",um,,,,,,,
gising,wake up,ma,,,,,,,
katok,knock,um,,,,,,,
luhod,kneel,um,,,,,,,
tayo,stand,um,,,,,,,
kinang,sparkle/shine,um,,,,,,,
bangon,get up or rise up,um,,,,,,,
dapa,lie face down,um,,,,,,,
tihaya,lie on the back,um,,,,,,,
harurot,speed off,um,,,,,,,
sandal,lean on,um,,,,,,,
hakbang,step/pace,um,,,,,,,
labas,go outside,um,,take out/show,i,,,,
kita,see,mag,,earn money,um,,,,
ayos,fix,ma,,fix something,in,,,,
halo,stir,in,,add/include ingredient,i,,,,
hiwa,slice/cut,in,,,,,,,
init,heat up/warm,in,,,,,,,
banggit,mention,in,,,,,,,
pitas,pick/harvest,in,,,,,,,
sira,destroy,in,,,,,,,
nguya,chew,in,,,,,,,
bura,erase,in,,,,,,,
sipa,kick,in,,,,,,,
sabi,say,in,,,,,,,
walis,sweep,in,,,,,,,
yakap,hug,in,,,,,,,
sipsip,sip,in,,,,,,,
gupit,cut,in,,,,,,,
sipat,aim,in,,,,,,,
agaw,snatch/grab something from someone,in,,,,,,,
tupi,fold,in,,,,,,,
paandar,starting an engine,in,,,,,,,
kusot,washing clothes with hands,in,,,,,,,
isip,think,in,,,,,,,
punas,wipe,in,,,,,,,
sesanti,dismiss/fire,in,,,,,,,
sisi,blame,in,,,,,,,
gamit,use,in,,,,,,,
ahit,shave,in,,,,,,,
nakaw,steal,in,,,,,,,
ihaw,grill,in,,,,,,,
kaladkad,drag someone,in,,,,,,,
hiram,borrow,in,,,,,,,
ako,take the blame,in,,,,,,,
balak,plan,in,,,,,,,
bati,greet,in,,,,,,,
away,fight,in,,,,,,,
hamak,belittle,in,,,,,,,
singil,collect payment,in,,,,,,,
hati,cut something in half,in,,,,,,,
siyasat,investigate,in,,,,,,,
sagot,answer,in,,,,,,,
bunot,pluck/pullout/uproot,in,,,,,,,
habol,run after someone,in,,,,,,,
sundo,fetch/pickup someone,in,,,,,,,
lunok,swallow,in,,,,,,,
simot,entirely consume,in,,,,,,,
salo,catch,in,,,,,,,
kamot,scratch,in,,,,,,,
guyumos,crumple/crush paper,in,,,,,,,
salubong,meet a person on his or her way,in,,,,,,,
suntok,punch/hit,in,,,,,,,
alok,offer,in,,,,,,,
kuskos,scrub/scour,in,,,,,,,
hipo,touch,in,,,,,,,
inom,drink,um,,drink something,in,,,,
sulat,write,i,,,,,,,
sampay,hang dry,i,,,,,,,
taas,raise,i,,,,,,,
sara,close,i,,,,,,,
suot,wear,i,,,,,,,
saulo,memorize,i,,,,,,,
subo,put something in the mouth,i,,,,,,,
bigay,give,i,,,,,,,
tapon,throw/get rid of,i,,,,,,,
tama,correct,i,,,,,,,
tulak,push,i,,,,,,,
salin,transfer/translate,i,,,,,,,
hatid,walk/drive someone to a destination,i,,,,,,,
lista,write/list,i,,,,,,,
tupi,fold,i,,,,,,,
tigil,stop,i,,,,,,,
hulog,drop,i,,,,,,,
kula,get rid of stains in the sun,i,,,,,,,
salang,to start cooking,i,,,,,,,
bintang,blame/accuse someone,i,,,,,,,
lubog,submerge,i,,,,,,,
Sali,include,i,,,,,,,
sumbong,report/tell on someone,i,,,,,,,
dahak,cough up mucus,i,,,,,,,
tulak,to push,i,,,,,,,
tabi,"to set aside, pull aside",i,,,,,,,
unat,stretch,i,,,,,,,
kulong,imprison,i,,,,,,,
